STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,tra_cov,Transport coverage,schedule,Type of schedule,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2016-06,,3171901,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2016-07,,3502298,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2016-08,,3482820,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2016-09,,3284762,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2016-10,,2761280,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2016-11,,2359552,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2016-12,,2357521,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-01,,2309994,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-02,,2222509,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD,Passengers carried,TOTAL,Total transport,TOT,Total,PL,Poland,2017-03,,2560537,,,,,
